MunicipCode,pan.vote.09,marginality.06,PAN.governor.06,PAN.visits.06
15003,0.166,0.121,0,0
15004,0.54,0.096,0,0
15005,0.124,-0.12,0,0
15006,0.187,-1.288,0,0
15007,0.076,0.35,0,0
15008,0.024,0.482,0,0
15009,0.097,-1.171,0,1
15010,0.407,-1.188,0,0
15011,0.068,-1.024,0,0
15012,0.258,-1.111,0,1
15013,0.346,-1.791,0,0
15014,0.264,-0.74,0,0
15015,0.143,-0.652,0,0
15016,0.31,-0.644,0,0
15017,0.148,-0.773,0,0
15018,0.297,-1.011,0,0
15019,0.172,-1.325,0,0
15020,0.172,-2.098,0,1
15021,0.356,-0.051,0,0
15022,0.23,-1.335,0,0
15023,0.219,-1.309,0,0
15024,0.236,-1.881,0,0
15025,0.066,-1.195,0,0
15026,0.362,-0.009,0,0
15027,0.181,-1.411,0,0
15028,0.078,-1.158,0,0
15029,0.052,-1.29,0,0
15030,0.151,-1.519,0,0
15031,0.077,-1.161,0,0
15032,0.049,0.701,0,0
15033,0.13,-1.606,0,0
15034,0.148,-0.372,0,0
15035,0.365,-1.452,0,0
15036,0.292,-0.826,0,0
15037,0.33,-1.622,0,0
15038,0.077,-0.552,0,0
15039,0.159,-1.59,0,0
15040,0.162,-0.566,0,0
15041,0.172,0.286,0,0
15042,0.258,-0.194,0,0
15043,0.172,-0.872,0,0
15044,0.203,-1.898,0,0
15045,0.14,-0.372,0,0
15046,0.177,-0.831,0,0
15047,0.083,-0.028,0,0
15048,0.338,-0.712,0,0
15049,0.123,-0.495,0,0
15050,0.11,-0.947,0,0
15051,0.183,-1.247,0,0
15052,0.285,-0.191,0,0
15053,0.2,-1.421,0,0
15054,0.268,-2,0,1
15055,0.207,-1.328,0,0
15056,0.066,0.48,0,0
15057,0.326,-1.688,0,5
15058,0.107,-1.721,0,1
15059,0.24,-1.064,0,0
15060,0.152,-1.426,0,0
15061,0.418,-0.746,0,0
15062,0.17,-1.317,0,0
15063,0.077,-0.082,0,0
15064,0.393,-0.26,0,0
15065,0.241,-0.765,0,0
15066,0.098,0.256,0,0
15067,0.116,-0.551,0,0
15068,0.126,-1.057,0,0
15069,0.229,-1.159,0,0
15070,0.065,-1.378,0,0
15071,0.153,-0.714,0,0
15072,0.152,-1.267,0,0
15073,0.217,-1.31,0,0
15074,0.358,0.603,0,0
15075,0.254,-1.067,0,1
15076,0.365,-1.323,0,0
15077,0.096,0.044,0,0
15078,0.104,-0.326,0,0
15079,0.492,-0.494,0,0
15080,0.448,0.787,0,1
15081,0.39,-1.676,0,1
15082,0.073,-0.101,0,0
15083,0.08,-1.172,0,0
15084,0.323,-0.882,0,0
15085,0.218,-0.091,0,0
15086,0.28,0.345,0,0
15087,0.182,0.061,0,0
15088,0.159,-0.82,0,0
15089,0.129,-1.08,0,0
15090,0.12,-0.901,0,0
15091,0.186,-1.455,0,1
15092,0.22,-1.25,0,0
15093,0.068,-1.005,0,0
15094,0.096,-0.877,0,0
15095,0.356,-1.478,0,0
15096,0.419,-1.321,0,0
15097,0.357,0.154,0,0
15098,0.184,-1.035,0,0
15099,0.066,-1.535,0,0
15100,0.081,-1.173,0,0
15101,0.267,-0.992,0,0
15102,0.371,-0.241,0,0
15103,0.127,-1.492,0,0
15104,0.349,-1.785,0,1
15105,0.01,0.59,0,0
15106,0.297,-1.641,0,3
15107,0.276,-0.891,0,0
15108,0.148,-1.642,0,0
15109,0.118,-1.759,0,1
15110,0.125,-0.807,0,1
15111,0.156,0.593,0,1
15112,0.231,-0.05,0,0
15113,0.229,-0.213,0,0
15114,0.297,0.839,0,0
15115,0.183,-1.044,0,0
15116,0.168,-0.396,0,0
15117,0.247,0.589,0,0
15118,0.336,-1.005,0,1
15119,0.327,0.465,0,0
15120,0.464,-1.301,0,0
15121,0.288,-1.981,0,2
15122,0.048,-1.238,0,1
15123,0.268,0.371,0,0
15124,0.261,0.955,0,0
15125,0.145,-1.311,0,0
16001,0.025,-0.062,0,0
16002,0.252,0.084,0,0
16003,0.091,-0.497,0,0
16004,0.195,-0.272,0,0
16005,0.015,-0.107,0,0
16006,0.369,-0.677,0,0
16007,0.02,0.198,0,0
16008,0.091,1.637,0,0
16009,0.515,-0.033,0,0
16010,0.091,0.293,0,0
16011,0.006,-0.546,0,0
16012,0.708,-0.257,0,0
16013,0.138,0.874,0,0
16014,0.139,-0.437,0,0
16015,0.23,0.172,0,0
16016,0.065,-0.108,0,0
16017,0.435,0.175,0,0
16018,0.041,-0.177,0,0
16019,0.266,-0.563,0,0
16020,0.401,-0.508,0,0
16021,0.062,0.573,0,0
16022,0.236,-0.175,0,1
16023,0.109,-0.645,0,0
16024,0.099,-0.266,0,0
16025,0.31,-0.036,0,1
16026,0.034,0.909,0,0
16027,0.032,0.205,0,0
16028,0.08,-0.577,0,0
16029,0.067,1.135,0,0
16030,0.05,-0.475,0,0
16031,0.299,0.332,0,0
16032,0.136,-0.121,0,0
16033,0.195,-0.253,0,0
16034,1.863,-0.42,0,1
16035,0.26,0.461,0,0
16036,0.08,-0.632,0,0
16037,0.013,-0.095,0,0
16038,0.054,0.17,0,0
16039,0.042,0.025,0,0
16040,0.161,-0.267,0,0
16041,0.041,-0.117,0,0
16042,0.186,-0.312,0,0
16043,0.162,-0.971,0,0
16044,0.084,-0.4,0,0
16045,0.381,-1.162,0,0
16046,0.109,-0.052,0,0
16047,0.101,0.122,0,0
16048,0.054,-0.246,0,0
16049,0.225,0.728,0,0
16050,1.803,-0.263,0,0
16051,0.174,-1.26,0,0
16052,1.614,-1.282,0,0
16053,5.589,-1.633,0,3
16054,0.209,-0.195,0,0
16055,0.006,-0.39,0,0
16056,0.122,0.384,0,0
16057,0.028,1.164,0,0
16058,0.188,-0.718,0,0
16059,0.006,0.284,0,0
16060,0.155,-0.383,0,0
16061,0.113,0.396,0,0
16062,0.509,-0.382,0,0
16063,0.074,-0.212,0,0
16064,0.291,0.047,0,0
16065,0.044,-0.239,0,0
16066,0.236,-0.75,0,0
16067,0.144,-0.182,0,0
16068,0.795,-0.819,0,0
16069,2.194,-1.317,0,1
16070,0.347,-1.097,0,0
16071,2.388,-0.512,0,1
16072,0.084,-0.505,0,0
16073,0.928,-0.38,0,0
16074,0.098,-0.449,0,0
16075,2.112,-0.709,0,0
16076,2.177,-1.139,0,0
16077,0.022,0.301,0,0
16078,0.192,-0.405,0,0
16079,0.253,-0.043,0,0
16080,0.273,0.116,0,0
16081,0.058,1.144,0,0
16082,1.371,-0.259,0,0
16083,0.385,0.104,0,0
16084,0.555,-0.168,0,0
16085,1.395,-0.508,0,0
16086,0.297,-0.69,0,0
16087,0.104,-0.585,0,0
16088,0.558,-0.635,0,0
16089,0.463,-0.467,0,0
16090,0.083,-0.382,0,0
16091,0.479,-0.575,0,0
16092,0.054,0.998,0,0
16093,0.224,0.204,0,0
16094,0.155,-0.216,0,0
16095,0.092,-0.653,0,0
16096,0.017,0.984,0,0
16097,0.151,0.97,0,0
16098,0.249,-0.243,0,0
16099,0.165,0.989,0,0
16100,0.167,-0.088,0,0
16101,0.071,1.587,0,0
16102,8.805,-1.173,0,1
16103,0.175,-0.692,0,0
16104,0.177,-0.246,0,0
16105,0.119,-0.757,0,0
16106,0.739,-0.829,0,0
16107,0.137,-1.17,0,0
16108,5.985,-1.162,0,2
16109,0.023,-0.405,0,0
16110,0.558,-0.423,0,0
16111,0.16,-0.109,0,0
16112,2.914,-0.493,0,1
16113,0.03,-0.471,0,0
17001,0.097,-0.73,1,0
17002,0.107,-0.804,1,0
17003,0.237,-0.346,1,0
17004,0.27,-0.743,1,1
17005,0.05,-0.403,1,0
17006,0.193,-1.425,1,2
17007,0.234,-1.869,1,1
17008,0.199,-1.324,1,0
17009,0.261,-0.995,1,0
17010,0.321,-0.43,1,0
